Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1,C15,C19,C2,C3,C4","","6",""
"C10,C9","","2",""
"C11,C12","","2",""
"C13,C14","","2",""
"C16,C18,C20,C21,C22,C5,C6,C7,C8","","9",""
"C17","","1",""
"D1","USBLC6-2P6","1",""
"D2","SS14","1",""
"D3","1N4148W-E3-18","1",""
"J1","USB4105-GF-A","1",""
"J2","B2B-PH-K-S(LF)(SN)","1",""
"J3","U.FL-R-SMT-1(10)","1",""
"J4","20021121-00006C4LF","1",""
"J5","640456-8","1",""
"J6","2.54-2P-LT","1",""
"L1","","1",""
"LED1,LED2","","2",""
"LS1","MLT-5020","1",""
"Q1","MMBT3904TT1G","1",""
"R1","","1",""
"R6,R7","","2",""
"R10,R9","","2",""
"R11,R12,R17,R2,R3","","5",""
"R13,R16,R4,R5,R8","","5",""
"R14,R15","","2",""
"SW1","B3FS-1050P","1",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7","","7",""
"U1","NRF52840-QIAA-R","1",""
"U2","SX1262IMLTRT","1",""
"U3","AP2112K-3.3TRG1","1",""
"U4","MCP73831T-2ACI/OT","1",""
"U5","LTC4412MPS6#TRPBF","1",""
"U6","DRV2605LDGSR","1",""
"U7,U8","LIS2DH12TR","2",""
"Y1","NX2016SA-32MHZ-EXS00A-CS06654","1",""
"Y2","ABS07-32.768KHZ-T","1",""
"Y3","X1G0042110003","1",""
